,Open,High,Low,Close,Adj Close,Volume
4525,1.1176704929664798,1.0823535526562291,1.1224763342465747,1.0914350136254087,1.0215276302019118,-0.6137842544178291
4526,1.1047751271978585,1.0698187170559161,1.117012147225027,1.0985290328784632,1.0277160020734708,-0.6581851219601734
4527,1.0904610648688366,1.065341963561187,1.088520153202284,1.0760861935295671,1.008137423131128,-0.45551154786186676
4528,1.1149621824570228,1.0814581277723545,1.1016602065040646,1.0878235455118968,1.0183769895554597,-0.4989309050314129
4529,1.0854318851144402,1.058819074609316,1.092553223798141,1.057125892422067,0.9915965754138912,-0.37750642687795805
4530,1.0822080436722847,1.1046089034596271,1.106864336014925,1.1027852535377283,1.0314292459234764,-0.44488129145139166
4531,1.1073539682349993,1.076085936603245,1.0986679514023547,1.0858889009302441,1.0166887660815427,-0.4429681780128868
4532,1.0760183196848097,1.046539908413545,1.0717370960556307,1.03803670013689,0.974943783956242,-0.3854416887054958
4533,1.0508723951220955,1.0519120867921492,1.0847471271070832,1.0655098037110209,0.9989107556754762,-0.4358813404059034
4534,1.079242161126965,1.0461562060539042,1.0812345618335328,1.0705400808344026,1.003298759671732,-0.3876542459865493
4535,1.088913685453431,1.055621243710022,1.089300716035278,1.0808586367050093,1.0123009627462605,-0.4716316080523994
4536,1.088913685453431,1.0736557150713124,1.1038718857627496,1.1053650376095272,1.0336800851422574,-0.4006301458303217
4537,1.1340474656436057,1.1308292852335198,1.1339250314715423,1.1238092838767546,1.0497702608550425,-0.1350733647968103
4538,1.1563565902723438,1.1337712420801913,1.0355692227426245,1.0617692380494885,0.9956477825079755,0.5574071568658436
4539,1.0726655890617969,1.038353985210438,1.0584670074934912,1.0272022957963538,0.9654918745581957,-0.045406569722536906
4540,1.0276606980524798,1.058819074609316,1.0540434538256558,1.0936276727290517,1.0234405187179259,-0.10215117788549545
4541,1.0850450370367473,1.1448989174818904,1.1181829979795332,1.1632775862793014,1.0842016521603675,0.0012068551008608817
4542,1.117928258432829,1.111515891276794,1.1397797015650686,1.1448333271139275,1.0681110876669466,-0.20858682814249013
4543,1.1532614316851935,1.1821193382080382,1.1846640745120203,1.2169339271879571,1.131011881607717,-0.15694940107188815
4544,1.2256046399730116,1.2424905346214592,1.2459416069850446,1.2601427952520354,1.168706045419569,-0.03367835255605031
4545,1.2403051506233873,1.2233047771141765,1.2594717530578716,1.2486636512638933,1.1586919090572942,-0.2864754987431855
4546,1.2602932125767001,1.2845714112019773,1.295379568860191,1.3046415553520143,1.2075256288408118,-0.22896564520482499
4547,1.2777020337365337,1.2616762921287417,1.273262346942318,1.2589820007641563,1.167694300251485,-0.21410990346060862
4548,1.2539742125473945,1.2360952821190316,1.2631145487422475,1.245439114646341,1.1558788303329737,-0.2573961744779109
4549,1.223025412074898,1.269222638919586,1.2588214076256716,1.301417018734462,1.2047135157974251,-0.3109633507560483
4550,1.2726726476562849,1.258478665877528,1.1723047791936996,1.1441885874663213,1.0675488607027181,0.10920626764672042
4551,1.1116096581598625,1.1503987451004427,0.9400756468650879,1.003211743361765,0.9445626466053787,0.21144970410803476
4552,0.9401012547511012,1.0922021008144125,0.948011778816505,1.1269051098906808,1.0524708063973418,0.2466177198384641
4553,1.0908479129465294,1.133131870316009,1.124297738593778,1.1062679981494674,1.0344675540488806,-0.1883910045394905
4554,1.1170254925614653,1.092585803174053,0.9992713271792895,0.9676129235947205,0.9135061722079674,-0.1815370676989338
4555,1.0098650288149533,1.0016452997990288,0.9113233871711608,1.0056624169873978,0.9467005764028135,0.11996961020943933
4556,1.0295949255455783,1.0589467110587594,1.0353091652319368,1.0554492752605507,0.9901332051017333,-0.26034070559630546
4557,1.0406849530019584,1.062144337309973,1.058206754832338,1.086017817904214,1.0168014873832263,-0.42536753437864167
4558,1.079242161126965,1.1428523855190935,1.1089457978728159,1.1769495957414302,1.0961296427195895,-0.2434886715684318
4559,1.2179964257509883,1.2105142721093216,1.2186204637168083,1.242730220128375,1.153515470473482,-0.2885216983339342
4560,1.2209621019704553,1.2268861057250307,1.25752032646034,1.2419563571364554,1.1528412997688409,-0.44167058802850956
4561,1.2325682535463591,1.2213862781064784,1.2238243980772028,1.206744675235714,1.1221223872935613,-0.4390255007526636
4562,1.194268991422822,1.2360952821190316,1.2214826835581585,1.1875261661340266,1.1053563101752413,-0.3725656034759062
4563,1.2004585219798107,1.1890263132346999,1.1901284566840344,1.1621168046895687,1.083189718872621,-0.42896086048922477
4564,1.1824050872759355,1.1974680976999243,1.2119852177802566,1.2309928552478988,1.143276292829786,-0.457541111683585
4565,1.2404342332347316,1.2588623682371682,1.2688389884249487,1.2889058037602132,1.1937988129875183,-0.4168999279421286
4566,1.2855680134249061,1.2760015937816545,1.2839306764847578,1.2459547567459273,1.1563287373174649,-0.35215351487551044
4567,1.2615828265257572,1.2295719966615053,1.214197092189407,1.1814640243948822,1.10837260830015,-0.35819229903357375
4568,1.1773757011956867,1.1535963713516564,1.131323259441811,1.102140500991975,1.0389770708057073,-0.2951094628700033
4569,1.079242161126965,1.098469320361741,1.0779820540706697,1.1194239656694696,1.0540978031918171,-0.3551146817629354
4570,1.0980692790908602,1.1663868763565115,1.1318433744631855,1.1839146980205149,1.1105164701376042,-0.4677388380992677
4571,1.205229742837372,1.2088514425061656,1.2225233039018402,1.2330566102757183,1.1535076321542173,-0.5057515703339086
4572,1.1784075496783943,1.1904330897181645,1.1931209069362099,1.212677706528692,1.1356796571658285,-0.457158488995884
4573,1.2272811019997611,1.2117933993528371,1.2149776680324322,1.2254467425527338,1.1468504159188238,-0.44784245833881664
4574,1.2559088269014664,1.2500368814123033,1.2723519570094617,1.282585441128735,1.1968376854719096,-0.14087924818844694
4575,1.2855680134249061,1.3040128381138019,1.3208791126307582,1.3162498097863236,1.226288031816056,-0.3646303416483685
